tweet_translated,tweet_translated,sentimiento
"They call to invest in Venezuela to solve their migration situation, and they can't stop some people who break into your house, legal security, zero!","They call to invest in Venezuela to solve their migration situation, and they can't stop some people who break into your house, legal security, zero!",tristeza
These crazy women better leave Venezuela that the left gives them better security and if you are afraid buy a dog.,These crazy women better leave Venezuela that the left gives them better security and if you are afraid buy a dog.,ira
these confident bitches should scare you the most,these confident bitches should scare you the most,miedo
These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden  04,These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden  04,ira
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,ira
There's no such thing as a silver lining if you know how to always look for the right opportunity at any time!,There's no such thing as a silver lining if you know how to always look for the right opportunity at any time!,tristeza
"There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...","There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...",tristeza
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence ???≠ #awful","There's always that one song which makes you turn of the radio, as you'd rather sit in silence ???≠ #awful",miedo
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence ???≠ ","There's always that one song which makes you turn of the radio, as you'd rather sit in silence ???≠ ",miedo
"There's a specific joyous 20 song title engiybhekayo, yasezayoni. Need it for le mood","There's a specific joyous 20 song title engiybhekayo, yasezayoni. Need it for le mood",felicidad
thereÉ??s shaytan in this room wallahi its been dark all the time now the lamp is on!! omg shaytan,thereÉ??s shaytan in this room wallahi its been dark all the time now the lamp is on!! omg shaytan,tristeza
There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling,felicidad
There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done ,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done ,felicidad
There is no chance that there will be a second chance to get out of Venezuela.,There is no chance that there will be a second chance to get out of Venezuela.,tristeza
"There is an epidemic in the youth of Venezuela, everyone wants to leave the country.","There is an epidemic in the youth of Venezuela, everyone wants to leave the country.",ira
there is a VERY big possibility of leaving Venezuela in one week.... friends I am SCREAMING,there is a VERY big possibility of leaving Venezuela in one week.... friends I am SCREAMING,miedo
"There is a long way to go for formal trade to be reestablished with Venezuela, it is not only about opening the border, it takes trust, economic resources, legal security.","There is a long way to go for formal trade to be reestablished with Venezuela, it is not only about opening the border, it takes trust, economic resources, legal security.",felicidad
there are #serious #chinks in #IndiaÉ??s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive #deficit\n@Abhijit_Iyer,there are #serious #chinks in #IndiaÉ??s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive #deficit\n@Abhijit_Iyer,tristeza
TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #???????Å?™??,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #???????Å?™??,felicidad
TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot,TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot,felicidad
the?ˇLord?ˇturn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected #delight,the?ˇLord?ˇturn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected #delight,felicidad
the?ˇLord?ˇturn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected ,the?ˇLord?ˇturn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected ,felicidad
The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal,The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal,miedo
The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin  #neurological #USCitizens #Insect #mammal,The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin  #neurological #USCitizens #Insect #mammal,miedo
"The young people, nor anyone else, should be given the fish, if not taught how to fish. Chavez began giving bonuses and bonitos. Look how Venezuela is...DESTROYED...No wonder everyone is leaving.....","The young people, nor anyone else, should be given the fish, if not taught how to fish. Chavez began giving bonuses and bonitos. Look how Venezuela is...DESTROYED...No wonder everyone is leaving.....",tristeza
The word happiness would lose its meaning if it were not balanced by sadness.,The word happiness would lose its meaning if it were not balanced by sadness.,tristeza
The weather sure matches the mood in this state today.. #gloomy,The weather sure matches the mood in this state today.. #gloomy,tristeza
"the waitress recognised me from last time i was in there moping, after my interview haha","the waitress recognised me from last time i was in there moping, after my interview haha",tristeza
The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice,The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice,tristeza
"The Venezuelan guayabo is a horrible thing, because you would never go back to Venezuela, but at the same time you want to run out and hug your loved ones.","The Venezuelan guayabo is a horrible thing, because you would never go back to Venezuela, but at the same time you want to run out and hug your loved ones.",tristeza
The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim,The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim,tristeza
the thought of you gets me through my day. the thought of your smile never fails at making me smile ????,the thought of you gets me through my day. the thought of your smile never fails at making me smile ????,felicidad
the teams that face Barca and Bayern after a defeat are the ones who face the wrath,the teams that face Barca and Bayern after a defeat are the ones who face the wrath,ira
"The teachers saying that young people are the future of the country, and I study to get out of it jdskjdsk","The teachers saying that young people are the future of the country, and I study to get out of it jdskjdsk",tristeza
"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.","The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.",felicidad
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,tristeza
The sun literally burning my skin,The sun literally burning my skin,ira
The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3,The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3,tristeza
"The return of Matt Damon, and of director Paul Greengrass, brings back all the exhilarating if rather po-faced entertainment to a movie","The return of Matt Damon, and of director Paul Greengrass, brings back all the exhilarating if rather po-faced entertainment to a movie",felicidad
"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums #awful","The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums #awful",miedo
The Quarterback' wrecks me every time.. #glee,The Quarterback' wrecks me every time.. #glee,felicidad
The Quarterback' wrecks me every time.. ,The Quarterback' wrecks me every time.. ,felicidad
the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,felicidad
"The problem of Venezuela is in your last sentence ""el Pais casi"", it seems that there is no way out, so the solution is to leave.","The problem of Venezuela is in your last sentence ""el Pais casi"", it seems that there is no way out, so the solution is to leave.",felicidad
The presidents say that young people are the future of my country and I only study to get out of Latin America.,The presidents say that young people are the future of my country and I only study to get out of Latin America.,miedo
"The police in the DR is useless, no security force. In Venezuela they solve a case quickly (if you get off the mule much faster) but they solve your case.","The police in the DR is useless, no security force. In Venezuela they solve a case quickly (if you get off the mule much faster) but they solve your case.",felicidad
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote","The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",felicidad
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov  #quote","The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov  #quote",felicidad
the ownership of the company to the workers. What businessman is going to stay without being able to manage his company? He will go to another country. This is the UP 2.0 @nico_grau @gboric @GiorgioJackson,the ownership of the company to the workers. What businessman is going to stay without being able to manage his company? He will go to another country. This is the UP 2.0 @nico_grau @gboric @GiorgioJackson,felicidad
"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism","the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism",ira
The only thing scary about a 1-armed man trying to scare someone is the fact that he feels his 1 arm is only good for tryin to scare someone,The only thing scary about a 1-armed man trying to scare someone is the fact that he feels his 1 arm is only good for tryin to scare someone,miedo
The only thing left is to leave the country and never come back.,The only thing left is to leave the country and never come back.,felicidad
the only thing left is to get out of this country.,the only thing left is to get out of this country.,tristeza
"The only thing I hope is to get out of this country soon, and I swear I will never say that I ever lived in Venezuela.","The only thing I hope is to get out of this country soon, and I swear I will never say that I ever lived in Venezuela.",tristeza
The only solution is to leave the country,The only solution is to leave the country,tristeza
"The only form of inclusion that this HDP understands, they should create a country that they can ruin apart and go far away from Venezuela.","The only form of inclusion that this HDP understands, they should create a country that they can ruin apart and go far away from Venezuela.",tristeza
The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.,The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.,felicidad
"The next raffle I do is going to be to get out of this country and you have to help me because I did not vote for the socialist party, ok?","The next raffle I do is going to be to get out of this country and you have to help me because I did not vote for the socialist party, ok?",tristeza
The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,tristeza
The new lock sound is grim,The new lock sound is grim,tristeza
The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,ira
The neighbor dancing in the Clayton Homes commercial is me. #hilarious,The neighbor dancing in the Clayton Homes commercial is me. #hilarious,felicidad
The neighbor dancing in the Clayton Homes commercial is me. ,The neighbor dancing in the Clayton Homes commercial is me. ,felicidad
The most important thing to #bestrong is to hold your #anger #thoughts,The most important thing to #bestrong is to hold your #anger #thoughts,ira
The most important characteristic of leadership is the lack of . #activism #equity #revolution,The most important characteristic of leadership is the lack of . #activism #equity #revolution,miedo
The most important characteristic of leadership is the lack of #fear.  #activism #equity #revolution,The most important characteristic of leadership is the lack of #fear.  #activism #equity #revolution,miedo
"The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that #fear #Brendonati","The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that #fear #Brendonati",miedo
"The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that  #Brendonati","The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that  #Brendonati",miedo
The more I watch this documentary on @Channel4 the more I think @Airbnb is more a #nightmare than dream #dreamornightmare,The more I watch this documentary on @Channel4 the more I think @Airbnb is more a #nightmare than dream #dreamornightmare,miedo
The moment of the day when you have to start to plaster a smile in your face. #depression,The moment of the day when you have to start to plaster a smile in your face. #depression,tristeza
"The man who is a pessimist before 48 knows too much; if he is an optimist after it, he knows too little.'\n-Mark Twain","The man who is a pessimist before 48 knows too much; if he is an optimist after it, he knows too little.'\n-Mark Twain",tristeza
"The majority of people irritate the fuck out of me, cba with people ahahah","The majority of people irritate the fuck out of me, cba with people ahahah",ira
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks","The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",ira
"The labor of love is not cheap or inexpensive, it's the time spent earning it. #lackadaisical #dreamer","The labor of love is not cheap or inexpensive, it's the time spent earning it. #lackadaisical #dreamer",tristeza
The kid at the pool yelling is about to get a foot up his ass. #shutup #parents #kids #horrible,The kid at the pool yelling is about to get a foot up his ass. #shutup #parents #kids #horrible,miedo
The kid at the pool yelling is about to get a foot up his ass. #shutup #parents #kids ,The kid at the pool yelling is about to get a foot up his ass. #shutup #parents #kids ,miedo
The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!,The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!,miedo
"The human race has one really effective weapon, and that is laughter. -- Mark Twain","The human race has one really effective weapon, and that is laughter. -- Mark Twain",felicidad
The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,tristeza
"the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices","the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices",tristeza
The good thing is that Venezuela is booming. Christmas is here. Quality of life,The good thing is that Venezuela is booming. Christmas is here. Quality of life,felicidad
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap ????,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap ????,ira
The focal points of war lie in #terrorism and the #UN needs to address #violentextremism,The focal points of war lie in #terrorism and the #UN needs to address #violentextremism,miedo
The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT16,The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT16,miedo
The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing ????????,The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing ????????,tristeza
the fact everyone is selling their kanye tickets or are buying them for less than $50 is unbelievably hilarious to me,the fact everyone is selling their kanye tickets or are buying them for less than $50 is unbelievably hilarious to me,felicidad
the ending of how I met your mother is dreadful,the ending of how I met your mother is dreadful,tristeza
the ending of how I met your mother is dreadful,the ending of how I met your mother is dreadful,miedo
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,felicidad
The country of eternal corruption. It is time to leave the country.,The country of eternal corruption. It is time to leave the country.,tristeza
The bubble has officially burst. 98 boys to beat for the trophy and all the glory #wptmain #bye,The bubble has officially burst. 98 boys to beat for the trophy and all the glory #wptmain #bye,ira
The bounty hunter things a bit lively,The bounty hunter things a bit lively,felicidad
"The bitter the battle, the sweeter the victory...","The bitter the battle, the sweeter the victory...",ira
"The birds chirp , the sun shines and the wind chimes chime. There was once a smile on this face.","The birds chirp , the sun shines and the wind chimes chime. There was once a smile on this face.",felicidad
"The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.","The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.",ira
The best revenge is massive success. É??Frank Sinatra,The best revenge is massive success. É??Frank Sinatra,ira
The best revenge is massive success.,The best revenge is massive success.,ira
"The best #revenge is to move on, get over it, and continue to #succeed. Never give someone the #satisfaction of watching you #suffer....!!!","The best #revenge is to move on, get over it, and continue to #succeed. Never give someone the #satisfaction of watching you #suffer....!!!",ira
the bee sting still suck i feel sick,the bee sting still suck i feel sick,ira
The 'banter' from Craigen and Sutton on BT is fucking horrid,The 'banter' from Craigen and Sutton on BT is fucking horrid,miedo
The American Idiot record turns twelve today it changed my preppy middle school heart into a desolate punk rock desert I am forever grateful,The American Idiot record turns twelve today it changed my preppy middle school heart into a desolate punk rock desert I am forever grateful,tristeza
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.","The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",tristeza
the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,ira
The #pessimist complains about the wind; the #optimist expects it to change; the realist adjusts the sails.' - William Arthur Ward\n#IGNITE,The #pessimist complains about the wind; the #optimist expects it to change; the realist adjusts the sails.' - William Arthur Ward\n#IGNITE,tristeza
The #500thTest match would have be a T20 or an ODI if @virendersehwag @B_McCullum42 been in their National Colors #nightmare #hitter  @BCCI,The #500thTest match would have be a T20 or an ODI if @virendersehwag @B_McCullum42 been in their National Colors #nightmare #hitter  @BCCI,miedo
"The ""get out of the country"" operation begins","The ""get out of the country"" operation begins",felicidad
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit","That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",ira
"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.","That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",tristeza
That's fucking horrific defending from Schalke,That's fucking horrific defending from Schalke,miedo
Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and married???? #nochance #KindaDontMind????,Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and married???? #nochance #KindaDontMind????,ira
That way ur so angry you can literally feel ur blood boiling,That way ur so angry you can literally feel ur blood boiling,ira
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,miedo
That old lady is cray cray #scared #BellaIsSoCute  #Empire,That old lady is cray cray #scared #BellaIsSoCute  #Empire,miedo
That last minute was like watching a horror show #GBBO ???ù,That last minute was like watching a horror show #GBBO ???ù,miedo
That is at least the 3rd time the balls been burst in our games,That is at least the 3rd time the balls been burst in our games,ira
That house on #GrandDesigns isn't in a forest it's in a wibbly wobbly pine plantation,That house on #GrandDesigns isn't in a forest it's in a wibbly wobbly pine plantation,tristeza
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,That grudge you're holding keeps making an appearance because #God wants you to deal with it.,ira
That goes the #alarm,That goes the #alarm,miedo
That free kick from Rooney was awful,That free kick from Rooney was awful,miedo
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ???ù???ù,That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ???ù???ù,miedo
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,ira
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. ,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. ,ira
That AK47 leave your spine with a frown,That AK47 leave your spine with a frown,tristeza
That AK47 leave your spine with a frown,That AK47 leave your spine with a frown,ira
"Thanks for making our Mass with Fr. Vallely respectful, meaningful, and joyful @ACSSCrusader @AssumptionHCDSB ! #SeeWithEyesOfMercy","Thanks for making our Mass with Fr. Vallely respectful, meaningful, and joyful @ACSSCrusader @AssumptionHCDSB ! #SeeWithEyesOfMercy",felicidad
"thank you for your concern, computer, but my last name isn't misspelled, it's just weird","thank you for your concern, computer, but my last name isn't misspelled, it's just weird",miedo
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,felicidad
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! ,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! ,felicidad
Thank you @twitter for the balloons today. #smile #goodday #48,Thank you @twitter for the balloons today. #smile #goodday #48,felicidad
Thank you @twitter for the balloons today.  #goodday #48,Thank you @twitter for the balloons today.  #goodday #48,felicidad
Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it,Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it,felicidad
Thank god the feds did not raise rates. Assume they are nervous about a world where 990 is the new employee  form  &amp; the safety net is zilch,Thank god the feds did not raise rates. Assume they are nervous about a world where 990 is the new employee  form  &amp; the safety net is zilch,miedo
Thank God she warned me before I walked to that sink cause lord knows I would've been sick to my stomach and would've wanted to sue lbvfs,Thank God she warned me before I walked to that sink cause lord knows I would've been sick to my stomach and would've wanted to sue lbvfs,tristeza
TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend! @REBOSTreatment @BlvdCenters,TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend! @REBOSTreatment @BlvdCenters,tristeza
tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo,felicidad
tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor  #NYCletsgo,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor  #NYCletsgo,felicidad
"Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans #horrible","Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans #horrible",miedo
"Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans ","Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans ",miedo
testing #angry,testing #angry,ira
testing ,testing ,ira
Termination rate is at 22.22% I gotta make some things shake,Termination rate is at 22.22% I gotta make some things shake,miedo
"Tend the sick, Lord Christ; give rest to the weary, bless the dying, soothe the suffering, pity the afflicted, shield the joyous;","Tend the sick, Lord Christ; give rest to the weary, bless the dying, soothe the suffering, pity the afflicted, shield the joyous;",felicidad
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,tristeza
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder","Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",ira
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder","Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",ira
talk about a mood pickup i went from depressed to elated so fast,talk about a mood pickup i went from depressed to elated so fast,felicidad
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,ira
Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi,Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi,ira
Taguchi engineering fashionable hale and hearty little game optimization: MqnAOcU,Taguchi engineering fashionable hale and hearty little game optimization: MqnAOcU,felicidad
"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed","Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed",miedo
"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas  #stressed","Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas  #stressed",miedo
Swear all of my guy friends are scaredy cats. You don't do horror movies. You don't do haunted houses. Wtf do you do then?,Swear all of my guy friends are scaredy cats. You don't do horror movies. You don't do haunted houses. Wtf do you do then?,miedo
"sure, ohio state is terrible, ohio is awful, etc, etc\n\nthese feelings began with the toldeo war \n\nso, maybe don't campaign there?","sure, ohio state is terrible, ohio is awful, etc, etc\n\nthese feelings began with the toldeo war \n\nso, maybe don't campaign there?",miedo
Super shitting it about this tattoo #nervous,Super shitting it about this tattoo #nervous,miedo
Super shitting it about this tattoo ,Super shitting it about this tattoo ,miedo
"Super black...the cost of living in Argentina is lower than in Venezuela (not to mention quality of life), do you need another reason to leave?","Super black...the cost of living in Argentina is lower than in Venezuela (not to mention quality of life), do you need another reason to leave?",miedo
Summer officially ends today. #sadness,Summer officially ends today. #sadness,tristeza
"Study people, study and look for scholarships to get out of this country. There is nothing to do here but resign ourselves to a bad life.","Study people, study and look for scholarships to get out of this country. There is nothing to do here but resign ourselves to a bad life.",tristeza
"Study my friends, to improve the country and then leave it if the opportunity arises. ","Study my friends, to improve the country and then leave it if the opportunity arises. ",tristeza
streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so simple,streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so simple,ira
straight people are canoodling on the quad and I'm #offended,straight people are canoodling on the quad and I'm #offended,ira
straight people are canoodling on the quad and I'm ,straight people are canoodling on the quad and I'm ,ira
Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,miedo
Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered  #badservice,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered  #badservice,miedo
still shaking though ???ü,still shaking though ???ü,miedo
Still salty about that fire alarm at 2am this morning.,Still salty about that fire alarm at 2am this morning.,miedo
Still can't log into my fucking Snapchat#Snapchat #snap,Still can't log into my fucking Snapchat#Snapchat #snap,ira
Still can't log into my fucking Snapchat #Snapchat ,Still can't log into my fucking Snapchat #Snapchat ,ira
"stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6???????????????? FML","stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6???????????????? FML",tristeza
Step over #fear and rely on #faith!,Step over #fear and rely on #faith!,miedo
Step out of your comfort zone. \nGo for risks.\nFace things you fear. \n\nThis is when life starts to happen.\n\n#cpd,Step out of your comfort zone. \nGo for risks.\nFace things you fear. \n\nThis is when life starts to happen.\n\n#cpd,miedo
STAY JADED everyone is #terrible,STAY JADED everyone is #terrible,miedo
STAY JADED everyone is ,STAY JADED everyone is ,miedo
"Stay in Venezuela? But if they had problems to look for a training field, they got a synthetic one, who does the planning?","Stay in Venezuela? But if they had problems to look for a training field, they got a synthetic one, who does the planning?",felicidad
Starting not to give a fuck and stopped fearing the consequence,Starting not to give a fuck and stopped fearing the consequence,miedo
Start the convo...don't shy away..mental illness abounds in society including our workplace...be informed... #tsdoffsite,Start the convo...don't shy away..mental illness abounds in society including our workplace...be informed... #tsdoffsite,miedo
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,tristeza
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,ira
Stack up with porthole under way heyday through worthy of faith bull's-eye transportation services: moM,Stack up with porthole under way heyday through worthy of faith bull's-eye transportation services: moM,felicidad
srry my feelings offend u ????,srry my feelings offend u ????,ira
Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,ira
"Spotify: here we have the option to download the songs in their highest quality... Me: no ma'am download two, I live in Venezuela and my ear does not distinguish the differences in quality. When I am in a country with better services I will worry about that.","Spotify: here we have the option to download the songs in their highest quality... Me: no ma'am download two, I live in Venezuela and my ear does not distinguish the differences in quality. When I am in a country with better services I will worry about that.",tristeza
"Sounds like Donald Trump has spent today just making extra, extra sure he'd get those frightened white, conservative, racist votes.","Sounds like Donald Trump has spent today just making extra, extra sure he'd get those frightened white, conservative, racist votes.",miedo
Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.,Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.,ira
sorry Main twitter im in depress,sorry Main twitter im in depress,tristeza
