tweet,tweet_tokenized,tweet_translated,tweet_tokenized_translated,sentimiento
"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent","['loved', '@bethenny', 'independence', 'msg', '@wendywilliams,', 'happy', '&amp;', 'fulfilled', 'within', '&amp;', 'positivity', 'flock', '#happy', '#independent']","Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent","['loved', '@bethenny', 'independence', 'msg', '@wendywilliams,', 'happy', '&amp;', 'fulfilled', 'within', '&amp;', 'positivity', 'flock', '#happy', '#independent']",felicidad
"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you  #independent","['loved', '@bethenny', 'independence', 'msg', '@wendywilliams,', 'happy', '&amp;', 'fulfilled', 'within', '&amp;', 'positivity', 'flock', '#independent']","Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you  #independent","['loved', '@bethenny', 'independence', 'msg', '@wendywilliams,', 'happy', '&amp;', 'fulfilled', 'within', '&amp;', 'positivity', 'flock', '#independent']",felicidad
LOVE LOVE LOVE #smile #fun #relaxationiskey,"['love', 'love', 'love', '#smile', '#fun', '#relaxationiskey']",LOVE LOVE LOVE #smile #fun #relaxationiskey,"['love', 'love', 'love', '#smile', '#fun', '#relaxationiskey']",felicidad
LOVE LOVE LOVE  #fun #relaxationiskey,"['love', 'love', 'love', '#fun', '#relaxationiskey']",LOVE LOVE LOVE  #fun #relaxationiskey,"['love', 'love', 'love', '#fun', '#relaxationiskey']",felicidad
Love how Megan is raging about this Kendall Jenner photo and I'm sat here like 🤔🙃,"['love', 'megan', 'raging', 'kendall', 'jenner', 'photo', ""i'm"", 'sat', 'like', '🤔🙃']",Love how Megan is raging about this Kendall Jenner photo and I'm sat here like 🤔🙃,"['love', 'megan', 'raging', 'kendall', 'jenner', 'photo', ""i'm"", 'sat', 'like', '🤔🙃']",ira
Love how cheerful that woman is about storing someone else's furniture for an eternity. I'd have sold it by now. #GrandDesigns,"['love', 'cheerful', 'woman', 'storing', 'someone', ""else's"", 'furniture', 'eternity.', ""i'd"", 'sold', 'now.', '#granddesigns']",Love how cheerful that woman is about storing someone else's furniture for an eternity. I'd have sold it by now. #GrandDesigns,"['love', 'cheerful', 'woman', 'storing', 'someone', ""else's"", 'furniture', 'eternity.', ""i'd"", 'sold', 'now.', '#granddesigns']",felicidad
Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,"['love', 'ex', 'united', 'managers', 'twitter', 'form', 'fanbase.', 'honestly', 'despair', 'times.', 'back', 'fucking', 'team', 'eh', '#mufc']",Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,"['love', 'ex', 'united', 'managers', 'twitter', 'form', 'fanbase.', 'honestly', 'despair', 'times.', 'back', 'fucking', 'team', 'eh', '#mufc']",tristeza
Lot 100 would give Ghandi road rage,"['lot', '100', 'would', 'give', 'ghandi', 'road', 'rage']",Lot 100 would give Ghandi road rage,"['lot', '100', 'would', 'give', 'ghandi', 'road', 'rage']",ira
Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart,"['lost:', 'geelong', 'football', 'team.', '\\nlast', 'seen', 'entering', 'banner', 'sure', ""they've"", 'since...', '#unhappy', '#playwithsomeheart']",Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart,"['lost:', 'geelong', 'football', 'team.', '\\nlast', 'seen', 'entering', 'banner', 'sure', ""they've"", 'since...', '#unhappy', '#playwithsomeheart']",tristeza
lost my 244 day snapchat streak i'm done,"['lost', '244', 'day', 'snapchat', 'streak', ""i'm"", 'done']",lost my 244 day snapchat streak i'm done,"['lost', '244', 'day', 'snapchat', 'streak', ""i'm"", 'done']",tristeza
Lost Frequencies/Janieck Devy - Reality (Gestort Aber Geil Remix)' is raging at ShoutDRIVE!,"['lost', 'frequencies/janieck', 'devy', 'reality', '(gestort', 'aber', 'geil', ""remix)'"", 'raging', 'shoutdrive!']",Lost Frequencies/Janieck Devy - Reality (Gestort Aber Geil Remix)' is raging at ShoutDRIVE!,"['lost', 'frequencies/janieck', 'devy', 'reality', '(gestort', 'aber', 'geil', ""remix)'"", 'raging', 'shoutdrive!']",ira
"LORD MAKE ME AN INSTRUMENT OF YOUR PEACE — Where there's hate, let me sow love — Where there's injury, pardon — Where there's despair, hope","['lord', 'make', 'instrument', 'peace', ""there's"", 'hate,', 'let', 'sow', 'love', ""there's"", 'injury,', 'pardon', ""there's"", 'despair,', 'hope']","LORD MAKE ME AN INSTRUMENT OF YOUR PEACE — Where there's hate, let me sow love — Where there's injury, pardon — Where there's despair, hope","['lord', 'make', 'instrument', 'peace', ""there's"", 'hate,', 'let', 'sow', 'love', ""there's"", 'injury,', 'pardon', ""there's"", 'despair,', 'hope']",tristeza
Looks like #India is finally taking #Pakistan n it's #terrorism to task.#uriattacks.,"['looks', 'like', '#india', 'finally', 'taking', '#pakistan', '#terrorism', 'task.#uriattacks.']",Looks like #India is finally taking #Pakistan n it's #terrorism to task.#uriattacks.,"['looks', 'like', '#india', 'finally', 'taking', '#pakistan', '#terrorism', 'task.#uriattacks.']",miedo
"looking for a relationship where you know there's not a chance but you feel there's still hope is the worst, that's my relationship with Venezuela and leaving there....","['looking', 'relationship', 'know', ""there's"", 'chance', 'feel', ""there's"", 'still', 'hope', 'worst,', ""that's"", 'relationship', 'venezuela', 'leaving', 'there....']","looking for a relationship where you know there's not a chance but you feel there's still hope is the worst, that's my relationship with Venezuela and leaving there....","['looking', 'relationship', 'know', ""there's"", 'chance', 'feel', ""there's"", 'still', 'hope', 'worst,', ""that's"", 'relationship', 'venezuela', 'leaving', 'there....']",tristeza
Look forward to the detours because they bring delightful surprises. #lifequote #delight,"['look', 'forward', 'detours', 'bring', 'delightful', 'surprises.', '#lifequote', '#delight']",Look forward to the detours because they bring delightful surprises. #lifequote #delight,"['look', 'forward', 'detours', 'bring', 'delightful', 'surprises.', '#lifequote', '#delight']",felicidad
Look forward to the detours because they bring delightful surprises. #lifequote ,"['look', 'forward', 'detours', 'bring', 'delightful', 'surprises.', '#lifequote']",Look forward to the detours because they bring delightful surprises. #lifequote ,"['look', 'forward', 'detours', 'bring', 'delightful', 'surprises.', '#lifequote']",felicidad
Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism,"['look', '#massiah', '#youngleader\\n#pakistan', '#massiah', '#terrorism']",Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism,"['look', '#massiah', '#youngleader\\n#pakistan', '#massiah', '#terrorism']",miedo
Look at this #massiah of #youngleader\n#Pakistan #massiah of ,"['look', '#massiah', '#youngleader\\n#pakistan', '#massiah']",Look at this #massiah of #youngleader\n#Pakistan #massiah of ,"['look', '#massiah', '#youngleader\\n#pakistan', '#massiah']",miedo
lol! no mention of pak PM or even his speech on any international news channel and pakis are rejoicing as if the world stands with them,"['lol!', 'mention', 'pak', 'pm', 'even', 'speech', 'international', 'news', 'channel', 'pakis', 'rejoicing', 'world', 'stands']",lol! no mention of pak PM or even his speech on any international news channel and pakis are rejoicing as if the world stands with them,"['lol!', 'mention', 'pak', 'pm', 'even', 'speech', 'international', 'news', 'channel', 'pakis', 'rejoicing', 'world', 'stands']",felicidad
"LOL! @TheFrankJLopes was just awarded the “F” bomb trophy on #AutoDealerLive, @RealMatKoenig :) #serious","['lol!', '@thefrankjlopes', 'awarded', '“f”', 'bomb', 'trophy', '#autodealerlive,', '@realmatkoenig', ':)', '#serious']","LOL! @TheFrankJLopes was just awarded the “F” bomb trophy on #AutoDealerLive, @RealMatKoenig :) #serious","['lol!', '@thefrankjlopes', 'awarded', '“f”', 'bomb', 'trophy', '#autodealerlive,', '@realmatkoenig', ':)', '#serious']",tristeza
Loading mirth out to be trusted websites: LKskQUfke,"['loading', 'mirth', 'trusted', 'websites:', 'lkskqufke']",Loading mirth out to be trusted websites: LKskQUfke,"['loading', 'mirth', 'trusted', 'websites:', 'lkskqufke']",felicidad
"Lmboo , using my nephew for meme #hilarious","['lmboo', 'using', 'nephew', 'meme', '#hilarious']","Lmboo , using my nephew for meme #hilarious","['lmboo', 'using', 'nephew', 'meme', '#hilarious']",felicidad
"Lmboo , using my nephew for meme ","['lmboo', 'using', 'nephew', 'meme']","Lmboo , using my nephew for meme ","['lmboo', 'using', 'nephew', 'meme']",felicidad
LMAO this person must hate me so bad to talk shit behind an anonymous account #awe /:,"['lmao', 'person', 'must', 'hate', 'bad', 'talk', 'shit', 'behind', 'anonymous', 'account', '#awe', '/:']",LMAO this person must hate me so bad to talk shit behind an anonymous account #awe /:,"['lmao', 'person', 'must', 'hate', 'bad', 'talk', 'shit', 'behind', 'anonymous', 'account', '#awe', '/:']",miedo
Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration #happy,"['live', 'simply.', 'dream', 'big.', 'grateful.', 'give', 'love.', 'laugh', 'lots.', 'unknown', '#quote', '#inspiration', '#happy']",Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration #happy,"['live', 'simply.', 'dream', 'big.', 'grateful.', 'give', 'love.', 'laugh', 'lots.', 'unknown', '#quote', '#inspiration', '#happy']",felicidad
Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration ,"['live', 'simply.', 'dream', 'big.', 'grateful.', 'give', 'love.', 'laugh', 'lots.', 'unknown', '#quote', '#inspiration']",Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration ,"['live', 'simply.', 'dream', 'big.', 'grateful.', 'give', 'love.', 'laugh', 'lots.', 'unknown', '#quote', '#inspiration']",felicidad
Literally the only thing left to do is to leave this country.,"['literally', 'thing', 'left', 'leave', 'country.']",Literally the only thing left to do is to leave this country.,"['literally', 'thing', 'left', 'leave', 'country.']",tristeza
"Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk","['literally', 'guy', '(a', 'some-would-say-successful', 'guy)', 'tell', ""'this"", 'ship', ""sail'"", 'kay', 'guy,', 'first,', 'working', 'sub,', 'last,', 'sunk']","Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk","['literally', 'guy', '(a', 'some-would-say-successful', 'guy)', 'tell', ""'this"", 'ship', ""sail'"", 'kay', 'guy,', 'first,', 'working', 'sub,', 'last,', 'sunk']",tristeza
Literally being here makes me depress tbh,"['literally', 'makes', 'depress', 'tbh']",Literally being here makes me depress tbh,"['literally', 'makes', 'depress', 'tbh']",tristeza
"listening to the Oblivion score, drinking coffee, researching for new sci-fi animated project.","['listening', 'oblivion', 'score,', 'drinking', 'coffee,', 'researching', 'new', 'sci-fi', 'animated', 'project.']","listening to the Oblivion score, drinking coffee, researching for new sci-fi animated project.","['listening', 'oblivion', 'score,', 'drinking', 'coffee,', 'researching', 'new', 'sci-fi', 'animated', 'project.']",felicidad
Listening to Joey really helps me and my anger.,"['listening', 'joey', 'really', 'helps', 'anger.']",Listening to Joey really helps me and my anger.,"['listening', 'joey', 'really', 'helps', 'anger.']",ira
Lisa: Getting what you want all the time will ultimately leave you unfulfilled and joyless.,"['lisa:', 'getting', 'want', 'time', 'ultimately', 'leave', 'unfulfilled', 'joyless.']",Lisa: Getting what you want all the time will ultimately leave you unfulfilled and joyless.,"['lisa:', 'getting', 'want', 'time', 'ultimately', 'leave', 'unfulfilled', 'joyless.']",tristeza
Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff! @AngryArchosaur,"['lil', 'reminder', 'private', 'account', 'delight', 'shittalking', 'occasionally', 'nsfw', 'stuff!', '@angryarchosaur']",Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff! @AngryArchosaur,"['lil', 'reminder', 'private', 'account', 'delight', 'shittalking', 'occasionally', 'nsfw', 'stuff!', '@angryarchosaur']",felicidad
"Likewise, if a school teacher in Venezuela wants to buy one, he would have to work 3 months to do it, with no possibility of saving obviously. The logical thing is for them to leave....","['likewise,', 'school', 'teacher', 'venezuela', 'wants', 'buy', 'one,', 'would', 'work', 'months', 'it,', 'possibility', 'saving', 'obviously.', 'logical', 'thing', 'leave....']","Likewise, if a school teacher in Venezuela wants to buy one, he would have to work 3 months to do it, with no possibility of saving obviously. The logical thing is for them to leave....","['likewise,', 'school', 'teacher', 'venezuela', 'wants', 'buy', 'one,', 'would', 'work', 'months', 'it,', 'possibility', 'saving', 'obviously.', 'logical', 'thing', 'leave....']",tristeza
"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.","['like,', ""'loon"", ""attic'."", 'luckily', 'quickly', 'sunk', 'wrong', 'pronunciation,', 'still', 'stop', 'saying', 'it.', 'stuck.']","Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.","['like,', ""'loon"", ""attic'."", 'luckily', 'quickly', 'sunk', 'wrong', 'pronunciation,', 'still', 'stop', 'saying', 'it.', 'stuck.']",tristeza
"Like keep grinding boy your life can change in one year, and even when it's dark out the sun is shining somewhere...'","['like', 'keep', 'grinding', 'boy', 'life', 'change', 'one', 'year,', 'even', 'dark', 'sun', 'shining', ""somewhere...'""]","Like keep grinding boy your life can change in one year, and even when it's dark out the sun is shining somewhere...'","['like', 'keep', 'grinding', 'boy', 'life', 'change', 'one', 'year,', 'even', 'dark', 'sun', 'shining', ""somewhere...'""]",tristeza
"Like if you aggravate me constantly, byeeeeeeee","['like', 'aggravate', 'constantly,', 'byeeeeeeee']","Like if you aggravate me constantly, byeeeeeeee","['like', 'aggravate', 'constantly,', 'byeeeeeeee']",ira
Like I can't do 12 hours worth of standing or calorie burning in 3 hours 😭😭😭😭 #1stworldprobs4vs,"['like', ""can't"", '12', 'hours', 'worth', 'standing', 'calorie', 'burning', 'hours', '😭😭😭😭', '#1stworldprobs4vs']",Like I can't do 12 hours worth of standing or calorie burning in 3 hours 😭😭😭😭 #1stworldprobs4vs,"['like', ""can't"", '12', 'hours', 'worth', 'standing', 'calorie', 'burning', 'hours', '😭😭😭😭', '#1stworldprobs4vs']",ira
Like hello? I am your first born you must always laugh at my jokes. #offended,"['like', 'hello?', 'first', 'born', 'must', 'always', 'laugh', 'jokes.', '#offended']",Like hello? I am your first born you must always laugh at my jokes. #offended,"['like', 'hello?', 'first', 'born', 'must', 'always', 'laugh', 'jokes.', '#offended']",ira
Like hello? I am your first born you must always laugh at my jokes. ,"['like', 'hello?', 'first', 'born', 'must', 'always', 'laugh', 'jokes.']",Like hello? I am your first born you must always laugh at my jokes. ,"['like', 'hello?', 'first', 'born', 'must', 'always', 'laugh', 'jokes.']",ira
Light of day per heyday popularization backfire cinematography: XUcQb,"['light', 'day', 'per', 'heyday', 'popularization', 'backfire', 'cinematography:', 'xucqb']",Light of day per heyday popularization backfire cinematography: XUcQb,"['light', 'day', 'per', 'heyday', 'popularization', 'backfire', 'cinematography:', 'xucqb']",felicidad
Life's too short to be frowning for so long,"[""life's"", 'short', 'frowning', 'long']",Life's too short to be frowning for so long,"[""life's"", 'short', 'frowning', 'long']",tristeza
LIFE TIP 101. I know unresolved #anger is likely to cause problems in several areas of my life. I must recognize it &amp; properly deal with it.,"['life', 'tip', '101.', 'know', 'unresolved', '#anger', 'likely', 'cause', 'problems', 'several', 'areas', 'life.', 'must', 'recognize', '&amp;', 'properly', 'deal', 'it.']",LIFE TIP 101. I know unresolved #anger is likely to cause problems in several areas of my life. I must recognize it &amp; properly deal with it.,"['life', 'tip', '101.', 'know', 'unresolved', '#anger', 'likely', 'cause', 'problems', 'several', 'areas', 'life.', 'must', 'recognize', '&amp;', 'properly', 'deal', 'it.']",ira
Life long fear of havin a shit and a spider crawls up ya bum,"['life', 'long', 'fear', 'havin', 'shit', 'spider', 'crawls', 'ya', 'bum']",Life long fear of havin a shit and a spider crawls up ya bum,"['life', 'long', 'fear', 'havin', 'shit', 'spider', 'crawls', 'ya', 'bum']",miedo
Life is too short so dont shoot it in with worries sadness and grief.,"['life', 'short', 'dont', 'shoot', 'worries', 'sadness', 'grief.']",Life is too short so dont shoot it in with worries sadness and grief.,"['life', 'short', 'dont', 'shoot', 'worries', 'sadness', 'grief.']",tristeza
Librarians scare me,"['librarians', 'scare']",Librarians scare me,"['librarians', 'scare']",miedo
Liam is too distant makes me mourn ,"['liam', 'distant', 'makes', 'mourn']",Liam is too distant makes me mourn ,"['liam', 'distant', 'makes', 'mourn']",tristeza
Let's refuse to live in #fear -  #c$%t,"[""let's"", 'refuse', 'live', '#fear', '#c$%t']",Let's refuse to live in #fear -  #c$%t,"[""let's"", 'refuse', 'live', '#fear', '#c$%t']",miedo
"Let's not panic. Beat NYG who's atop the division, come home against Cleveland. Just like that you're 2-2 with a division win","[""let's"", 'panic.', 'beat', 'nyg', ""who's"", 'atop', 'division,', 'come', 'home', 'cleveland.', 'like', '2-2', 'division', 'win']","Let's not panic. Beat NYG who's atop the division, come home against Cleveland. Just like that you're 2-2 with a division win","[""let's"", 'panic.', 'beat', 'nyg', ""who's"", 'atop', 'division,', 'come', 'home', 'cleveland.', 'like', '2-2', 'division', 'win']",miedo
Let's get drunk and tell each other things we're afraid to say when we're sober.,"[""let's"", 'get', 'drunk', 'tell', 'things', ""we're"", 'afraid', 'say', ""we're"", 'sober.']",Let's get drunk and tell each other things we're afraid to say when we're sober.,"[""let's"", 'get', 'drunk', 'tell', 'things', ""we're"", 'afraid', 'say', ""we're"", 'sober.']",tristeza
Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.,"['let', 'us', 'burden', 'remembrances', 'heaviness', ""that's"", 'gone.\\n-', 'william', 'shakespeare', '(1564-1616)\\n#forge', 'ahead.']",Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.,"['let', 'us', 'burden', 'remembrances', 'heaviness', ""that's"", 'gone.\\n-', 'william', 'shakespeare', '(1564-1616)\\n#forge', 'ahead.']",tristeza
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..","['leeds', 'surely', 'drop', 'prices', 'cup', 'tie,', 'rather', 'dismal', 'attendance', 'last', 'night..']","Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..","['leeds', 'surely', 'drop', 'prices', 'cup', 'tie,', 'rather', 'dismal', 'attendance', 'last', 'night..']",tristeza
Leaving this country will always be the best option.,"['leaving', 'country', 'always', 'best', 'option.']",Leaving this country will always be the best option.,"['leaving', 'country', 'always', 'best', 'option.']",felicidad
Leaving this country seems to be the only viable future.,"['leaving', 'country', 'seems', 'viable', 'future.']",Leaving this country seems to be the only viable future.,"['leaving', 'country', 'seems', 'viable', 'future.']",tristeza
Leaving this country has always been an option.,"['leaving', 'country', 'always', 'option.']",Leaving this country has always been an option.,"['leaving', 'country', 'always', 'option.']",felicidad
Leaving the country is the solution to the shitty quality of life that Venezuelans live.,"['leaving', 'country', 'solution', 'shitty', 'quality', 'life', 'venezuelans', 'live.']",Leaving the country is the solution to the shitty quality of life that Venezuelans live.,"['leaving', 'country', 'solution', 'shitty', 'quality', 'life', 'venezuelans', 'live.']",tristeza
"Leaving the country is one of the best choices I made in life, difficult but the BEST.  Outside we find the comfort and opportunity that socialism steals from us day after day.","['leaving', 'country', 'one', 'best', 'choices', 'made', 'life,', 'difficult', 'best.', 'outside', 'find', 'comfort', 'opportunity', 'socialism', 'steals', 'us', 'day', 'day.']","Leaving the country is one of the best choices I made in life, difficult but the BEST.  Outside we find the comfort and opportunity that socialism steals from us day after day.","['leaving', 'country', 'one', 'best', 'choices', 'made', 'life,', 'difficult', 'best.', 'outside', 'find', 'comfort', 'opportunity', 'socialism', 'steals', 'us', 'day', 'day.']",felicidad
"Leaving the country is not the solution, staying and trying to change something is the solution.","['leaving', 'country', 'solution,', 'staying', 'trying', 'change', 'something', 'solution.']","Leaving the country is not the solution, staying and trying to change something is the solution.","['leaving', 'country', 'solution,', 'staying', 'trying', 'change', 'something', 'solution.']",felicidad
leaving the country as the only solution to everything.,"['leaving', 'country', 'solution', 'everything.']",leaving the country as the only solution to everything.,"['leaving', 'country', 'solution', 'everything.']",felicidad
Leaving has a better chance of happening that this country recovers...,"['leaving', 'better', 'chance', 'happening', 'country', 'recovers...']",Leaving has a better chance of happening that this country recovers...,"['leaving', 'better', 'chance', 'happening', 'country', 'recovers...']",tristeza
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet","['leave', 'there,', 'rule,nimber', 'carpet', 'cleaning!!!', '#furious', '#worsethananatomicbomb', '#accidentlyspillbeeronthecarpet']","Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet","['leave', 'there,', 'rule,nimber', 'carpet', 'cleaning!!!', '#furious', '#worsethananatomicbomb', '#accidentlyspillbeeronthecarpet']",ira
"Leave it on there, rule,nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet","['leave', 'there,', 'rule,nimber', 'carpet', 'cleaning!!!', '#worsethananatomicbomb', '#accidentlyspillbeeronthecarpet']","Leave it on there, rule,nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet","['leave', 'there,', 'rule,nimber', 'carpet', 'cleaning!!!', '#worsethananatomicbomb', '#accidentlyspillbeeronthecarpet']",ira
Learning how to use twitter #lost,"['learning', 'use', 'twitter', '#lost']",Learning how to use twitter #lost,"['learning', 'use', 'twitter', '#lost']",tristeza
Laudrup and his evil white companions rejoice.,"['laudrup', 'evil', 'white', 'companions', 'rejoice.']",Laudrup and his evil white companions rejoice.,"['laudrup', 'evil', 'white', 'companions', 'rejoice.']",felicidad
Late night #thoughts. Feeling .,"['late', 'night', '#thoughts.', 'feeling']",Late night #thoughts. Feeling .,"['late', 'night', '#thoughts.', 'feeling']",miedo
Late night #thoughts. Feeling #restless.,"['late', 'night', '#thoughts.', 'feeling', '#restless.']",Late night #thoughts. Feeling #restless.,"['late', 'night', '#thoughts.', 'feeling', '#restless.']",miedo
"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem","['lament', '\\nsaddened', 'heart,\\nso', 'far', '&amp;', '\\nyet', 'near,\\nthe', 'years', 'so\\ntough', '&amp;', 'scarred,\\nthis', 'lonesome\\nroad,\\nstill', 'feared!', '#depression', '\\n\\n#poetry', '#poem']","Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem","['lament', '\\nsaddened', 'heart,\\nso', 'far', '&amp;', '\\nyet', 'near,\\nthe', 'years', 'so\\ntough', '&amp;', 'scarred,\\nthis', 'lonesome\\nroad,\\nstill', 'feared!', '#depression', '\\n\\n#poetry', '#poem']",tristeza
Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @ladygaga ️,"['lady', 'gaga', 'fucking', 'followed', 'waiting', 'day', 'ages', 'fucking', 'happened', 'im', 'shaking', 'thank', 'much', '@ladygaga', '️']",Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @ladygaga ️,"['lady', 'gaga', 'fucking', 'followed', 'waiting', 'day', 'ages', 'fucking', 'happened', 'im', 'shaking', 'thank', 'much', '@ladygaga', '️']",miedo
"Kudos to TC for benching Bruce. He isn't helping the team, so he rides pine. We have games to win. Discussion over. #Mets","['kudos', 'tc', 'benching', 'bruce.', 'helping', 'team,', 'rides', 'pine.', 'games', 'win.', 'discussion', 'over.', '#mets']","Kudos to TC for benching Bruce. He isn't helping the team, so he rides pine. We have games to win. Discussion over. #Mets","['kudos', 'tc', 'benching', 'bruce.', 'helping', 'team,', 'rides', 'pine.', 'games', 'win.', 'discussion', 'over.', '#mets']",tristeza
"Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles.","['knowing', 'cook', 'invaluable,', ""what's"", 'even', 'better', 'even', '400', 'sq', 'ft', 'place,', 'wide', 'hearty', 'homestyle', 'egg', 'noodles.']","Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles.","['knowing', 'cook', 'invaluable,', ""what's"", 'even', 'better', 'even', '400', 'sq', 'ft', 'place,', 'wide', 'hearty', 'homestyle', 'egg', 'noodles.']",felicidad
Kinda wanna just book a vacation and go...anyone wanna tag along? #adventure #serious,"['kinda', 'wanna', 'book', 'vacation', 'go...anyone', 'wanna', 'tag', 'along?', '#adventure', '#serious']",Kinda wanna just book a vacation and go...anyone wanna tag along? #adventure #serious,"['kinda', 'wanna', 'book', 'vacation', 'go...anyone', 'wanna', 'tag', 'along?', '#adventure', '#serious']",tristeza
Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat,"['kik', 'want', 'swap', 'pics', 'post', 'account', 'anonymously', 'wish', 'kik:', 'vsvplou', '#kik', '#kikme', '#snap', '#nudes', '#tits', '#snapchat']",Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat,"['kik', 'want', 'swap', 'pics', 'post', 'account', 'anonymously', 'wish', 'kik:', 'vsvplou', '#kik', '#kikme', '#snap', '#nudes', '#tits', '#snapchat']",ira
Keep in mind. We're all weak. Don't insult people just because they're human.,"['keep', 'mind.', ""we're"", 'weak.', 'insult', 'people', ""they're"", 'human.']",Keep in mind. We're all weak. Don't insult people just because they're human.,"['keep', 'mind.', ""we're"", 'weak.', 'insult', 'people', ""they're"", 'human.']",ira
Kayaking is merriment together with sevylor inflatable kayaks: eYGgJxMl,"['kayaking', 'merriment', 'together', 'sevylor', 'inflatable', 'kayaks:', 'eyggjxml']",Kayaking is merriment together with sevylor inflatable kayaks: eYGgJxMl,"['kayaking', 'merriment', 'together', 'sevylor', 'inflatable', 'kayaks:', 'eyggjxml']",felicidad
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost,"['wish', 'appreciated', 'do!', 'turn', 'taken', 'care', 'of!!', 'want', 'break!!', '#tired', '#lost']",Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost,"['wish', 'appreciated', 'do!', 'turn', 'taken', 'care', 'of!!', 'want', 'break!!', '#tired', '#lost']",tristeza
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,"['wish', 'appreciated', 'do!', 'turn', 'taken', 'care', 'of!!', 'want', 'break!!', '#tired']",Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,"['wish', 'appreciated', 'do!', 'turn', 'taken', 'care', 'of!!', 'want', 'break!!', '#tired']",tristeza
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5","['watched', 'django', 'unchained,', 'people', 'may', 'frown,', 'titter', 'delight!', '2/5']","Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5","['watched', 'django', 'unchained,', 'people', 'may', 'frown,', 'titter', 'delight!', '2/5']",felicidad
