tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
"@hemlg @raulrivas05 @LucyPN @Icemanlogografo difícil encontrar palabras adecuadas para dar ánimo, pero debes tener fe Piensa positivo, convéncete que va a estar bien , en más de 80% la enfermedad cursa suave, tengo amigos que la han superado refieren cansancio y los que peor la pasaron mucha tos. Números a favor de ella","['hemlg', 'raulrivas', 'lucypn', 'icemanlogografo', 'difícil', 'encontrar', 'palabras', 'adecuadas', 'dar', 'ánimo', 'debes', 'tener', 'fe', 'piensa', 'positivo', 'convéncete', 'va', 'bien', 'enfermedad', 'cursa', 'suave', 'amigos', 'superado', 'refieren', 'cansancio', 'peor', 'pasaron', 'mucha', 'tos', 'números', 'favor']","@hemlg @ raulrivas05 @LucyPN @Icemanlogografo it is difficult to find suitable words to encourage, but you must have faith Think positive, convince yourself that it will be fine, in more than 80% the disease is mild, I have friends who have overcome it, they report fatigue and that worse had a lot of coughing. Numbers in favor of her","['hemlg', 'raulrivas', 'lucypn', 'icemanlogografo', 'difficult', 'find', 'suitable', 'words', 'encourage', 'must', 'faith', 'think', 'positive', 'convince', 'fine', 'disease', 'mild', 'friends', 'overcome', 'report', 'fatigue', 'worse', 'lot', 'coughing', 'numbers', 'favor']",0.177,0.373,0.45,Positivo
"@RevistaPanenka @beltran_marcel Interesante historia, estrategias de todo tipo en la decisión del bayern,","['revistapanenka', 'beltran', 'marcel', 'interesante', 'historia', 'estrategias', 'tipo', 'decisión', 'bayern']","@Panenka Magazine @beltran_marcel Interesting story, strategies of all kinds in the Bayern decision,","['panenka', 'magazine', 'beltran', 'marcel', 'interesting', 'story', 'strategies', 'kinds', 'bayern', 'decision']",0.0,0.769,0.231,Neutral
"@CarlosOAlbornoz Gracias Carlos por darle visibilidad , y por defender también nuestro deprimido agro !!...  estoy convencido que pronto llegarán las vacas gordas","['carlosoalbornoz', 'gracias', 'carlos', 'darle', 'visibilidad', 'defender', 'deprimido', 'agro', 'convencido', 'pronto', 'llegarán', 'vacas', 'gordas']","@CarlosOAlbornoz Thank you Carlos for giving you visibility, and for also defending our depressed agriculture !! ... I am convinced that the fat cows will arrive soon","['carlosoalbornoz', 'thank', 'carlos', 'giving', 'visibility', 'also', 'defending', 'depressed', 'agriculture', 'convinced', 'fat', 'cows', 'arrive', 'soon']",0.158,0.478,0.364,Neutral
@jooespin Gracias por el RT,"['jooespin', 'gracias', 'rt']",@jooespin Thanks for the RT,"['jooespin', 'thanks', 'rt']",0.0,0.408,0.592,Positivo
@MagdalenaOreng1 Gracias 🙏🏼,"['magdalenaoreng', 'gracias', '🙏🏼']",@ MagdalenaOreng1 Thank you 🙏🏼,"['magdalenaoreng', 'thank', '🙏🏼']",0.0,0.737,0.263,Neutral
@Alberto29271494 Gracias,"['alberto', 'gracias']",@ Alberto29271494 Thank you,"['alberto', 'thank']",0.0,0.286,0.714,Positivo
"@ALVARADOJC_60 @GuaraCuchaFE Gracias Josefina  no creo que  Genere mucho contenido solo busco apoyar a  demo y su familia,  quien verdaderamente vale la pena escuchar es a @anacarol74 .. ella lleva esta lucha como esposa y mamá","['alvaradojc', 'guaracuchafe', 'gracias', 'josefina', 'creo', 'genere', 'contenido', 'solo', 'busco', 'apoyar', 'demo', 'familia', 'verdaderamente', 'vale', 'pena', 'escuchar', 'anacarol', 'lleva', 'lucha', 'esposa', 'mamá']","@ ALVARADOJC_60 @GuaraCuchaFE Thank you Josefina I don't think I generate much content. I'm just looking to support demo and his family, who is really worth listening to is @ anacarol74 .. she leads this fight as a wife and mother","['alvaradojc', 'guaracuchafe', 'thank', 'josefina', 'think', 'generate', 'much', 'content', 'looking', 'support', 'demo', 'family', 'really', 'worth', 'listening', 'anacarol', 'leads', 'fight', 'wife', 'mother']",0.1,0.616,0.284,Neutral
@Nekavir Gracias ! Igual te sigo toda ayuda es buena,"['nekavir', 'gracias', 'igual', 'sigo', 'toda', 'ayuda', 'buena']","@Nekavir Thank you! I still follow you, all help is good","['nekavir', 'thank', 'still', 'follow', 'help', 'good']",0.0,0.27,0.73,Positivo
"@YsauraParra Hola Ysaura así es, en realidad  no era lo que buscaba sino transmitir lo de demostenes y que sigan la etiqueta y a su esposa @anacarol74 , se lo que están viviendo por experiencia propia","['ysauraparra', 'hola', 'ysaura', 'así', 'realidad', 'buscaba', 'sino', 'transmitir', 'demostenes', 'sigan', 'etiqueta', 'esposa', 'anacarol', 'viviendo', 'experiencia', 'propia']","@YsauraParra Hello Ysaura that's right, it was not really what I was looking for but to transmit the demostenes and that they follow the label and his wife @ anacarol74, I know what they are experiencing from their own experience","['ysauraparra', 'hello', 'ysaura', 'right', 'really', 'looking', 'transmit', 'demostenes', 'follow', 'label', 'wife', 'anacarol', 'know', 'experiencing', 'experience']",0.0,1.0,0.0,Neutral
@froilanbustaman Le recomendaría ver la cuenta de la esposa de demostenes @anacarol74  la cual he pedido que sigan para tener la información del caso,"['froilanbustaman', 'recomendaría', 'ver', 'cuenta', 'esposa', 'demostenes', 'anacarol', 'pedido', 'sigan', 'tener', 'información', 'caso']",@froilanbustaman I would recommend you to see the account of the wife of demostenes @ anacarol74 which I have asked you to continue to have the information of the case,"['froilanbustaman', 'would', 'recommend', 'see', 'account', 'wife', 'demostenes', 'anacarol', 'asked', 'continue', 'information', 'case']",0.0,0.815,0.185,Neutral
@Francis_co_M Para nada irrespetuoso! Gracias a ti !,"['francis', 'co', 'irrespetuoso', 'gracias']",@Francis_co_M Not at all disrespectful! Thank you !,"['francis', 'co', 'disrespectful', 'thank']",0.0,0.545,0.455,Neutral
"@Francis_co_M Francisco mi cuenta es del 2007 ,desde alli hasta hace 5 días seguía a  270 s y 99 me seguían, no escribí lo que escribí por audiencia sino por empatía, a todo el que me siguió le pedí que más bien siguiera a la esposa de mi amigo, simplemente no llevo bien esto del TW gracias","['francis', 'co', 'francisco', 'cuenta', 'alli', 'hace', 'días', 'seguía', 'seguían', 'escribí', 'escribí', 'audiencia', 'sino', 'empatía', 'siguió', 'pedí', 'bien', 'siguiera', 'esposa', 'amigo', 'simplemente', 'llevo', 'bien', 'tw', 'gracias']","@Francis_co_M Francisco my account is from 2007, from there until 5 days ago I followed 270 s and 99 followed me, I did not write what I wrote by audience but by empathy, I asked everyone who followed me to rather follow the wife of my friend, I just don't get along with this TW thing thanks","['francis', 'co', 'francisco', 'account', 'days', 'ago', 'followed', 'followed', 'write', 'wrote', 'audience', 'empathy', 'asked', 'everyone', 'followed', 'rather', 'follow', 'wife', 'friend', 'get', 'along', 'tw', 'thing', 'thanks']",0.0,0.783,0.217,Neutral
“Justicia y no favor es lo que pido “ Antonio Jose de Sucre #LiberenaDemostenes,"['justicia', 'favor', 'pido', 'antonio', 'jose', 'sucre', 'liberenademostenes']","""Justice and no favor is what I ask"" Antonio Jose de Sucre #LiberenaDemostenes","['justice', 'favor', 'ask', 'antonio', 'jose', 'de', 'sucre', 'liberenademostenes']",0.0,0.496,0.504,Positivo
1210 hospitales de 1000 camas como el que construyó Nayib Bukele en El Salvador.,"['hospitales', 'camas', 'construyó', 'nayib', 'bukele', 'salvador']","1,210 1,000-bed hospitals like the one built by Nayib Bukele in El Salvador.","['bed', 'hospitals', 'like', 'one', 'built', 'nayib', 'bukele', 'el', 'salvador']",0.0,0.762,0.238,Neutral
"@montielgus @ElditaG @ELCHILI Ja ja te iba a dar like pero Bagheera y Baloo son muy buenos, y este par ....bueno","['montielgus', 'elditag', 'elchili', 'ja', 'ja', 'iba', 'dar', 'like', 'bagheera', 'baloo', 'buenos', 'par', 'bueno']","@montielgus @ElditaG @ELCHILI Ha ha I was going to like you but Bagheera and Baloo are very good, and this pair ... well","['montielgus', 'elditag', 'elchili', 'ha', 'ha', 'going', 'like', 'bagheera', 'baloo', 'good', 'pair', 'well']",0.0,0.545,0.455,Neutral
@ELCHILI Jabba El Hutt y Landó Calrissian,"['elchili', 'jabba', 'hutt', 'landó', 'calrissian']",@ELCHILI Jabba The Hutt and Landó Calrissian,"['elchili', 'jabba', 'hutt', 'landó', 'calrissian']",0.0,1.0,0.0,Neutral
"@salazardd Gracias, así es, y es lamentable por cuanto no se puede construir país si no hay la libertad de pensamiento y respeto a las opiniones,  igual  para usted Dios la bendiga !","['salazardd', 'gracias', 'así', 'lamentable', 'cuanto', 'puede', 'construir', 'país', 'si', 'libertad', 'pensamiento', 'respeto', 'opiniones', 'igual', 'usted', 'dios', 'bendiga']","@salazardd Thank you, that's right, and it's unfortunate because you can't build a country if you don't have freedom of thought and respect for opinions, the same for you, God bless you!","['salazardd', 'thank', 'right', 'unfortunate', 'build', 'country', 'freedom', 'thought', 'respect', 'opinions', 'god', 'bless']",0.127,0.253,0.62,Positivo
"Cuando encontramos una miserable cuenta de pedofilos y pervertidos como @militotales lo mejor antes de retwitear para denunciar es reportarla  en  https://t.co/9GXKoEYBdS, de esta forma evitamos propagar su contenido, dirigiendo más bien trafico a dicha cuenta (Dr @AndyBryanLewis)  https://t.co/vKKMNL79hz","['encontramos', 'miserable', 'cuenta', 'pedofilos', 'pervertidos', 'militotales', 'mejor', 'retwitear', 'denunciar', 'reportarla', 'forma', 'evitamos', 'propagar', 'contenido', 'dirigiendo', 'bien', 'trafico', 'dicha', 'cuenta', 'dr', 'andybryanlewis']","When we find a miserable account of pedophiles and perverts like @militotales, the best thing to do before retweeting to report it is to report it at https://t.co/9GXKoEYBdS, in this way we avoid spreading its content, directing traffic to said account (Dr @ AndyBryanLewis) https://t.co/vKKMNL79hz","['find', 'miserable', 'account', 'pedophiles', 'perverts', 'like', 'militotales', 'best', 'thing', 'retweeting', 'report', 'report', 'way', 'avoid', 'spreading', 'content', 'directing', 'traffic', 'said', 'account', 'dr', 'andybryanlewis']",0.28,0.517,0.204,Neutral
Igual,['igual'],Same,[],0.0,1.0,0.0,Neutral
"@manuelita1504 Creo que en estos casos es mejor cómo recomienda el Dr @AndyBryanLewis  hacer la denuncia en Twitter, así no le damos más difusión al perverso contenido,  https://t.co/9GXKoEYBdS yo la denuncié fue muy fácil ! Además es más efectivo que las autoridades","['manuelita', 'creo', 'casos', 'mejor', 'cómo', 'recomienda', 'dr', 'andybryanlewis', 'hacer', 'denuncia', 'twitter', 'así', 'damos', 'difusión', 'perverso', 'contenido', 'denuncié', 'fácil', 'además', 'efectivo', 'autoridades']","@ manuelita1504 I think that in these cases it is better how Dr @AndyBryanLewis recommends to make the report on Twitter, so we do not spread the perverse content any more, https://t.co/9GXKoEYBdS I denounced it was very easy! It is also more effective than the authorities","['manuelita', 'think', 'cases', 'better', 'dr', 'andybryanlewis', 'recommends', 'make', 'report', 'twitter', 'spread', 'perverse', 'content', 'denounced', 'easy', 'also', 'effective', 'authorities']",0.105,0.489,0.406,Neutral
"La historia es más creíble porque refleja tanto  como somos , no somos pocos los que hemos perdido un documento importante que aparece luego en el lugar más insospechado. Profe @jorgerivas1806 que dice  de la veracidad de la historia?","['historia', 'creíble', 'refleja', 'pocos', 'perdido', 'documento', 'importante', 'aparece', 'luego', 'lugar', 'insospechado', 'profe', 'jorgerivas', 'dice', 'veracidad', 'historia']","The story is more credible because it reflects as much as we are, there are not a few of us who have lost an important document that later appears in the most unexpected place. Profe @ jorgerivas1806 what does he say about the veracity of the story?","['story', 'credible', 'reflects', 'much', 'us', 'lost', 'important', 'document', 'later', 'appears', 'unexpected', 'place', 'profe', 'jorgerivas', 'say', 'veracity', 'story']",0.12,0.785,0.094,Neutral
@Adrianino_ 15 seg!,"['adrianino', 'seg']",@Adrianino_ 15 seg!,"['adrianino', 'seg']",0.0,1.0,0.0,Neutral
#Germany  está definitivamente en una frecuencia de onda mental diferente ..Ya habían estudios sobre la capacidad de los perros para detectar enfermedades. Ahora la única duda que me genera es si se estará exponiendo  a los canes a la enfermedad ?,"['germany', 'definitivamente', 'frecuencia', 'onda', 'mental', 'diferente', 'estudios', 'capacidad', 'perros', 'detectar', 'enfermedades', 'ahora', 'única', 'duda', 'genera', 'si', 'exponiendo', 'canes', 'enfermedad']",#Germany is definitely on a different mental wave frequency ... There have already been studies on the ability of dogs to detect diseases. Now the only question that it generates is if the dogs are being exposed to the disease?,"['germany', 'definitely', 'different', 'mental', 'wave', 'frequency', 'already', 'studies', 'ability', 'dogs', 'detect', 'diseases', 'question', 'generates', 'dogs', 'exposed', 'disease']",0.064,0.69,0.246,Neutral
"@mariflorvi Honor que me Hace Marisol, sin embargo más que seguirme a mi le pediría seguir y apoyar a @anacarol74 la esposa de Demo,  al igual que a otras tantas familias que viven lo mismo , ellos son los que realmente requieren nuestro apoyo y solidaridad.","['mariflorvi', 'honor', 'hace', 'marisol', 'embargo', 'seguirme', 'pediría', 'seguir', 'apoyar', 'anacarol', 'esposa', 'demo', 'igual', 'tantas', 'familias', 'viven', 'mismo', 'realmente', 'requieren', 'apoyo', 'solidaridad']","@mariflorvi Honor that Marisol does to me, however more than following me I would ask you to follow and support @ anacarol74 Demo's wife, as well as many other families who live the same way, they are the ones who really require our support and solidarity .","['mariflorvi', 'honor', 'marisol', 'however', 'following', 'would', 'ask', 'follow', 'support', 'anacarol', 'demo', 'wife', 'well', 'many', 'families', 'live', 'way', 'ones', 'really', 'require', 'support', 'solidarity']",0.0,0.558,0.442,Neutral
Que mejor día para recordar que #EsequiboEsVenezuela .. la CIJ no le corresponde decidir no tiene esa jurisdicción !,"['mejor', 'día', 'recordar', 'esequiboesvenezuela', 'cij', 'corresponde', 'decidir', 'jurisdicción']",What better day to remember that #EsequiboEsVenezuela .. the ICJ does not have to decide that it does not have that jurisdiction!,"['better', 'day', 'remember', 'esequiboesvenezuela', 'icj', 'decide', 'jurisdiction']",0.0,0.674,0.326,Neutral
"@MaryuGonzlez2 Lamentablemente las injusticias abundan , pero está en nosotros señalarlas !  Y  pedir que no sucedan Gracias  por la mención, podría por favor seguir a  @anacarol74  la esposa de Demostenes, merece nuestra empatía y solidaridad","['maryugonzlez', 'lamentablemente', 'injusticias', 'abundan', 'señalarlas', 'pedir', 'sucedan', 'gracias', 'mención', 'podría', 'favor', 'seguir', 'anacarol', 'esposa', 'demostenes', 'merece', 'empatía', 'solidaridad']","@ MaryuGonzlez2 Unfortunately injustices abound, but it is up to us to point them out! And ask that they do not happen Thank you for the mention, could you please follow @ anacarol74 Demostenes's wife, she deserves our empathy and solidarity","['maryugonzlez', 'unfortunately', 'injustices', 'abound', 'us', 'point', 'ask', 'happen', 'thank', 'mention', 'could', 'please', 'follow', 'anacarol', 'demostenes', 'wife', 'deserves', 'empathy', 'solidarity']",0.098,0.615,0.287,Neutral
"Excelente, el mejor hilo de los sucesos de 1811.  el profe  Jorge Rivas relata la historia de una forma tan  emotiva y agradable que puede uno sentir que lo ha vivido.","['excelente', 'mejor', 'hilo', 'sucesos', 'profe', 'jorge', 'rivas', 'relata', 'historia', 'forma', 'tan', 'emotiva', 'agradable', 'puede', 'sentir', 'vivido']","Excellent, the best thread of the events of 1811. Professor Jorge Rivas tells the story in such an emotional and pleasant way that one can feel that he has lived it.","['excellent', 'best', 'thread', 'events', 'professor', 'jorge', 'rivas', 'tells', 'story', 'emotional', 'pleasant', 'way', 'one', 'feel', 'lived']",0.0,0.462,0.538,Positivo
@Ayata64 Gracias Ayata! Pero quisiera pedirte por favor que más que seguirme a mi sigas a @anacarol74  es la esposa de Demostenes,"['ayata', 'gracias', 'ayata', 'quisiera', 'pedirte', 'favor', 'seguirme', 'sigas', 'anacarol', 'esposa', 'demostenes']",@ Ayata64 Thank you Ayata! But I would like to ask you please that more than following me follow @ anacarol74 is Demostenes's wife,"['ayata', 'thank', 'ayata', 'would', 'like', 'ask', 'please', 'following', 'follow', 'anacarol', 'demostenes', 'wife']",0.0,0.552,0.448,Neutral
"@sofiavnzla @AnibalJoseAlfo1 Gracias Sofía, gracias por multiplicar el mensaje,  pero te pediría más  que seguirme a mi a @anacarol74 . Es la esposa de Demostenes  Ella nos puede mantener  al tanto de lo que pasa","['sofiavnzla', 'anibaljosealfo', 'gracias', 'sofía', 'gracias', 'multiplicar', 'mensaje', 'pediría', 'seguirme', 'anacarol', 'esposa', 'demostenes', 'puede', 'mantener', 'pasa']","@sofiavnzla @ AnibalJoseAlfo1 Thank you Sofia, thank you for multiplying the message, but I would ask you more than to follow me @ anacarol74. She is the wife of Demostenes She can keep us abreast of what is happening","['sofiavnzla', 'anibaljosealfo', 'thank', 'sofia', 'thank', 'multiplying', 'message', 'would', 'ask', 'follow', 'anacarol', 'wife', 'demostenes', 'keep', 'us', 'abreast', 'happening']",0.0,0.75,0.25,Neutral
@CarolPerBr @anacarol74 Me recuerda a un refrán de truco oriental „“grano a grano se llena la gallina el buche“ ... así es gracias por la mención  y seguir a @anacarol74,"['carolperbr', 'anacarol', 'recuerda', 'refrán', 'truco', 'oriental', 'grano', 'grano', 'llena', 'gallina', 'buche', 'así', 'gracias', 'mención', 'seguir', 'anacarol']","@CarolPerBr @ anacarol74 It reminds me of an oriental trick saying """" grain by grain the chicken fills the crop ""... that's right, thank you for the mention and follow @ anacarol74","['carolperbr', 'anacarol', 'reminds', 'oriental', 'trick', 'saying', 'grain', 'grain', 'chicken', 'fills', 'crop', 'right', 'thank', 'mention', 'follow', 'anacarol']",0.068,0.791,0.141,Neutral
"@Macgreg43653188 Así es, “Con La verdad ni ofendo ni temo!, “S.B. lamentablemente son tiempos distintos, gracias por el apoyo, te pediría por favor apoyar a @anacarol74  es ella quien lleva esta lucha, quien la padece mas , es la esposa de mi amigo Demo.","['macgreg', 'así', 'verdad', 'ofendo', 'temo', 'lamentablemente', 'tiempos', 'distintos', 'gracias', 'apoyo', 'pediría', 'favor', 'apoyar', 'anacarol', 'lleva', 'lucha', 'padece', 'mas', 'esposa', 'amigo', 'demo']","@ Macgreg43653188 That's right, ""With the truth I neither offend nor fear !,"" S.B. Unfortunately these are different times, thanks for your support, I would ask you to please support @ anacarol74. She is the one who is leading this fight, the one who suffers the most, is the wife of my friend Demo.","['macgreg', 'right', 'truth', 'neither', 'offend', 'fear', 'unfortunately', 'different', 'times', 'thanks', 'support', 'would', 'ask', 'please', 'support', 'anacarol', 'one', 'leading', 'fight', 'one', 'suffers', 'wife', 'friend', 'demo']",0.138,0.314,0.548,Positivo
"@MilexaAlvarez1 Gracias Milexa, en realidad no es seguirme a mi,  es a su esposa @anacarol74 , ella es quien más nos necesita, ella y a toda familia incompleta por disentir sin dañar a nadie","['milexaalvarez', 'gracias', 'milexa', 'realidad', 'seguirme', 'esposa', 'anacarol', 'necesita', 'toda', 'familia', 'incompleta', 'disentir', 'dañar', 'nadie']","@ MilexaAlvarez1 Thank you Milexa, it is not really following me, it is his wife @ anacarol74, she is the one who needs us the most, she and all incomplete families for disagreeing without harming anyone","['milexaalvarez', 'thank', 'milexa', 'really', 'following', 'wife', 'anacarol', 'one', 'needs', 'us', 'incomplete', 'families', 'disagreeing', 'without', 'harming', 'anyone']",0.115,0.624,0.26,Neutral
"@almadel2904 @sagitararrecha No se espera menos de un sagitario ♐️ , más que apoyarme a mi es a @anacarol74 su esposa. A ella, a Demo, a su hijo, a todo Venezolano de bien que pueda sufrir por pensar diferente sin dañar a nadie ! Gracias","['almadel', 'sagitararrecha', 'espera', 'menos', 'sagitario', '♐️', 'apoyarme', 'anacarol', 'esposa', 'demo', 'hijo', 'venezolano', 'bien', 'pueda', 'sufrir', 'pensar', 'diferente', 'dañar', 'nadie', 'gracias']","@ almadel2904 @sagitararrecha No less is expected from a Sagittarius ♐️, more than supporting me is @ anacarol74 his wife. To her, to Demo, to her son, to every Venezuelan of good who can suffer for thinking differently without harming anyone! Thanks","['almadel', 'sagitararrecha', 'less', 'expected', 'sagittarius', '♐️', 'supporting', 'anacarol', 'wife', 'demo', 'son', 'every', 'venezuelan', 'good', 'suffer', 'thinking', 'differently', 'without', 'harming', 'anyone', 'thanks']",0.187,0.537,0.276,Neutral
"@YudithMachado Gracias x 1000! Te pediría  por favor seguir a @anacarol74 ella es la esposa de Demo, ella y su hijo son quienes más necesitan de nuestra solidaridad al igual que tantos en igual condición !","['yudithmachado', 'gracias', 'pediría', 'favor', 'seguir', 'anacarol', 'esposa', 'demo', 'hijo', 'necesitan', 'solidaridad', 'igual', 'tantos', 'igual', 'condición']","@YudithMachado Thank you x 1000! I would ask you to please follow @ anacarol74 she is Demo's wife, she and her son are the ones who most need our solidarity like so many in the same condition!","['yudithmachado', 'thank', 'would', 'ask', 'please', 'follow', 'anacarol', 'demo', 'wife', 'son', 'ones', 'need', 'solidarity', 'like', 'many', 'condition']",0.0,0.558,0.442,Neutral
"@TomasEnriqueS19 @cesartmosquera @jbotti1 Tomas, creo que cesar quería resaltar que han pasado injusticias y las hemos dejado pasar por pensar que no  nos afectan  directamente a nosotros, pero llegará el día que lo sean y entonces será muy tarde . De igual manera gracias por la mención te pido sigue a @anacarol74","['tomasenriques', 'cesartmosquera', 'jbotti', 'tomas', 'creo', 'cesar', 'quería', 'resaltar', 'pasado', 'injusticias', 'dejado', 'pasar', 'pensar', 'afectan', 'directamente', 'llegará', 'día', 'entonces', 'tarde', 'igual', 'manera', 'gracias', 'mención', 'pido', 'sigue', 'anacarol']","@ TomasEnriqueS19 @cesartmosquera @ jbotti1 Tomas, I think Cesar wanted to highlight that injustices have happened and we have let them go because we think that they do not affect us directly, but the day will come and then it will be too late. In the same way, thanks for the mention, I ask you, follow @ anacarol74","['tomasenriques', 'cesartmosquera', 'jbotti', 'tomas', 'think', 'cesar', 'wanted', 'highlight', 'injustices', 'happened', 'let', 'go', 'think', 'affect', 'us', 'directly', 'day', 'come', 'late', 'way', 'thanks', 'mention', 'ask', 'follow', 'anacarol']",0.0,0.813,0.187,Neutral
"@dixiacabello @AliomarBracho Gracias ingeniero !  Le pediría más que a mi estar atenta a @anacarol74  quien es la esposa de  Demo, ella y su hijo son quienes más padecen en esta situación. Son ellos quienes merecen más de nosotros.","['dixiacabello', 'aliomarbracho', 'gracias', 'ingeniero', 'pediría', 'atenta', 'anacarol', 'esposa', 'demo', 'hijo', 'padecen', 'situación', 'merecen']","@dixiacabello @AliomarBracho Thank you engineer! I would ask more than me to be attentive to @ anacarol74 who is Demo's wife, she and her son are the ones who suffer the most in this situation. It is they who deserve more from us.","['dixiacabello', 'aliomarbracho', 'thank', 'engineer', 'would', 'ask', 'attentive', 'anacarol', 'demo', 'wife', 'son', 'ones', 'suffer', 'situation', 'deserve', 'us']",0.175,0.7,0.125,Neutral
"@OrlandoFaneite Gracias Orlando,  soy un escritor trivial,  no generó mayores contenidos, el mensaje lo mandé desde la empatía como venezolano, por mi amigo y por su familia, es a @anacarol74 la esposa de Demo quien merece la apoyemos en estas horas oscuras, así como a otros en igual situación.","['orlandofaneite', 'gracias', 'orlando', 'escritor', 'trivial', 'generó', 'mayores', 'contenidos', 'mensaje', 'mandé', 'empatía', 'venezolano', 'amigo', 'familia', 'anacarol', 'esposa', 'demo', 'merece', 'apoyemos', 'horas', 'oscuras', 'así', 'igual', 'situación']","@OrlandoFaneite Thanks Orlando, I am a trivial writer, did not generate more content, the message was sent from empathy as a Venezuelan, for my friend and for his family, it is @ anacarol74 Demo's wife who deserves to support her in these dark hours as well as others in the same situation.","['orlandofaneite', 'thanks', 'orlando', 'trivial', 'writer', 'generate', 'content', 'message', 'sent', 'empathy', 'venezuelan', 'friend', 'family', 'anacarol', 'demo', 'wife', 'deserves', 'support', 'dark', 'hours', 'well', 'others', 'situation']",0.037,0.6,0.363,Neutral
"@keiserlavoz Gracias !! honestamente no lo esperaba pero ver cómo la gente reaccióno  me ha hecho pensar que no todo está perdido. Aunque ahora en estos 2 Dias más personas están viendo lo que escribo que en los últimos 12 años de mi cuenta, es a @anacarol74 quien merece nuestro apoyo no yo.  https://t.co/CWvKkjHzES","['keiserlavoz', 'gracias', 'honestamente', 'esperaba', 'ver', 'cómo', 'gente', 'reaccióno', 'hecho', 'pensar', 'perdido', 'aunque', 'ahora', 'dias', 'personas', 'viendo', 'escribo', 'últimos', 'años', 'cuenta', 'anacarol', 'merece', 'apoyo']","@keiserlavoz Thank you !! I honestly did not expect it but seeing how people reacted has made me think that all is not lost. Although now in these 2 days more people are seeing what I write than in the last 12 years of my account, it is @ anacarol74 who deserves our support, not me. https://t.co/CWvKkjHzES","['keiserlavoz', 'thank', 'honestly', 'expect', 'seeing', 'people', 'reacted', 'made', 'think', 'lost', 'although', 'days', 'people', 'seeing', 'write', 'last', 'years', 'account', 'anacarol', 'deserves', 'support']",0.084,0.618,0.298,Neutral
"@srpapagayos @rosibeltorresm Trabaja para Guaido,  usted podría seguir a su esposa @anacarol74 ella puede dar los detalles de  todo, ella y su hijo son los que llevan esta carga, son los que sufren por su esposo y padre como muchos otros en igual situación.","['srpapagayos', 'rosibeltorresm', 'trabaja', 'guaido', 'usted', 'podría', 'seguir', 'esposa', 'anacarol', 'puede', 'dar', 'detalles', 'hijo', 'llevan', 'carga', 'sufren', 'esposo', 'padre', 'igual', 'situación']","@srpapagayos @rosibeltorresm He works for Guaido, you could follow his wife @ anacarol74 she can give the details of everything, she and her son are the ones who carry this burden, they are the ones who suffer for their husband and father like many others in the same situation .","['srpapagayos', 'rosibeltorresm', 'works', 'guaido', 'could', 'follow', 'wife', 'anacarol', 'give', 'details', 'everything', 'son', 'ones', 'carry', 'burden', 'ones', 'suffer', 'husband', 'father', 'like', 'many', 'others', 'situation']",0.221,0.692,0.087,Neutral
@victorr66265183 Gracias !,"['victorr', 'gracias']",@ victorr66265183 Thank you!,"['victorr', 'thank']",0.0,0.286,0.714,Positivo
"@hectorvet Totalmente, me refería a seguidores porque pensaba que  sólo unas cuantas personas lo verían y se perdería. lo he dicho aquí y lo mantengo no busco que me sigan a mi, básicamente  dejo notas aquí para recordar, a quien quisiera que apoyen es a la esposa de Demo  @anacarol74","['hectorvet', 'totalmente', 'refería', 'seguidores', 'pensaba', 'sólo', 'unas', 'cuantas', 'personas', 'verían', 'perdería', 'dicho', 'aquí', 'mantengo', 'busco', 'sigan', 'básicamente', 'dejo', 'notas', 'aquí', 'recordar', 'quisiera', 'apoyen', 'esposa', 'demo', 'anacarol']","@hectorvet Totally, I was referring to followers because I thought that only a few people would see it and it would be lost. I have said it here and I maintain it, I do not seek to be followed, basically I leave notes here to remember, who I would like you to support is the wife of Demo @ anacarol74","['hectorvet', 'totally', 'referring', 'followers', 'thought', 'people', 'would', 'see', 'would', 'lost', 'said', 'maintain', 'seek', 'followed', 'basically', 'leave', 'notes', 'remember', 'would', 'like', 'support', 'wife', 'demo', 'anacarol']",0.122,0.697,0.181,Neutral
"@FRAN27ANSWER Gracias hermano, pero más que seguirme  a mi es a su esposa @anacarol74, ella  Demostenes y su hijo lo necesitan más, yo solo di un mensaje desde la amistad que sirvió  para darle visibilidad.","['fran', 'answer', 'gracias', 'hermano', 'seguirme', 'esposa', 'anacarol', 'demostenes', 'hijo', 'necesitan', 'solo', 'di', 'mensaje', 'amistad', 'sirvió', 'darle', 'visibilidad']","@ FRAN27ANSWER Thank you brother, but more than following me is his wife @ anacarol74, she Demostenes and her son need him more, I just gave a message from friendship that served to give him visibility.","['fran', 'answer', 'thank', 'brother', 'following', 'wife', 'anacarol', 'demostenes', 'son', 'need', 'gave', 'message', 'friendship', 'served', 'give', 'visibility']",0.0,0.722,0.278,Neutral
